,Data Engineer,Database Administrator,Business Analyst,Product Manager,Data Scientist,,
Data Engineer,0.52,0.03,0.00,0.03,0.03,,
Database Administrator,0.16,0.83,0.06,0.02,0.01,,
Business Analyst,0.08,0.06,0.81,0.11,0.07,,
Product Manager,0.05,0.04,0.04,0.83,0.07,,
Data Scientist,0.19,0.04,0.10,0.01,0.82,,
,,,,,,,
,,,,,,,
,precision,recall ,f1,,,,
Data Engineer,0.80,0.52,0.63,,,,
Database Administrator,0.76,0.83,0.79,,,,
Business Analyst,0.72,0.81,0.76,,,,
Product Manager,0.85,0.83,0.84,,,,
Data Scientist,0.76,0.82,0.79,,,,
avg,0.78,0.78,0.77,,,,
,,,,,,,
,,,,,,,
,,,,,,,
