,Data Scientist,Data Engineer,Product Manager,Business Analyst,Database Administrator
0,statist,data,product,busi,databas
1,mathemat,kpmg,market,requir,administr
2,analyt,host,strategi,analysi,server
3,analysi,azur,price,user,tune
4,comput,aw,distribut,end,perform
5,master,stack,develop,project,sql
6,method,pipelin,research,analyst,backup
7,advanc,varieti,plan,elicit,secur
8,clinic,mine,team,develop,gener
9,engin,comput,establish,document,softwar
10,minimum,accredit,manufactur,use,includ
11,scienc,technolog,target,rule,storag
12,research,univers,cycl,design,duti
13,media,colleg,sale,bachelor,certif
14,personnel,algorithm,qualiti,interfac,enterpris
15,relat,scienc,new,gather,updat
16,segment,set,direct,relat,maintain
17,degre,client,life,system,test
18,experiment,test,work,work,instal
19,oper,four,support,degre,abl
20,field,engin,respons,field,visual
21,network,languag,grow,global,monitor
22,digit,process,launch,need,configur
23,social,year,specif,specif,support
24,cluster,multipl,test,exist,must
25,conduct,big,manag,includ,implement
26,use,implement,design,prefer,analysi
27,plu,minimum,budget,cycl,technic
28,disciplin,bachelor,knowledg,equival,level
29,time,relat,whether,experi,integr
