,Business Analyst,Database Administrator,Data Analyst,Data Architect,Product Manager,Data Engineer,Data Scientist
0,0.305,0.08,0.06,0.05,0.215,0.145,0.145
1,0.025,0.005,0.015,0.005,0.06,0.035,0.855
2,0.035,0.005,0.06,0.035,0.005,0.07,0.79
3,0.255,0.045,0.25,0.04,0.2,0.025,0.185
4,0.01,0.0,0.015,0.02333333333333333,0.035,0.9016666666666666,0.015
5,0.055,0.055,0.05,0.013333333333333332,0.05,0.7066666666666666,0.07
6,0.01,0.005,0.045,0.055,0.01,0.70375,0.17125
7,0.045,0.025,0.09,0.02,0.11,0.675,0.035
8,0.01,0.13,0.03,0.045,0.0,0.76,0.025
9,0.07,0.06,0.045,0.015,0.055,0.715,0.04
10,0.04166666666666667,0.055,0.6983333333333333,0.055,0.04,0.055,0.055
11,0.16,0.0,0.795,0.015,0.0,0.015,0.015
12,0.1525,0.14,0.25249999999999995,0.1125,0.02,0.215,0.1075
13,0.115,0.025,0.725,0.02,0.055,0.03,0.03
14,0.025,0.035,0.065,0.735,0.01,0.06,0.07
15,0.225,0.19,0.155,0.24,0.07,0.055,0.065
16,0.07,0.075,0.03,0.755,0.015,0.035,0.02
17,0.005,0.0,0.0,0.0,0.945,0.01,0.04
18,0.095,0.03,0.06,0.01,0.775,0.02,0.01
19,0.095,0.005,0.03,0.025,0.825,0.005,0.015
20,0.07,0.02,0.06,0.02,0.815,0.01,0.005
21,0.14,0.015,0.045,0.02,0.71,0.05,0.02
22,0.04,0.02,0.035,0.01,0.86,0.025,0.01
23,0.045,0.03,0.015,0.02,0.8,0.045,0.045
24,0.04,0.01,0.015,0.0,0.92,0.0,0.015
25,0.05,0.01,0.0,0.023333333333333334,0.87,0.021666666666666664,0.025
26,0.155,0.015,0.025,0.01,0.77,0.015,0.01
27,0.085,0.005,0.015,0.005,0.89,0.0,0.0
28,0.04,0.035,0.01,0.0,0.845,0.04,0.03
29,0.01,0.02,0.025,0.0,0.905,0.015,0.025
30,0.11166666666666666,0.03,0.018333333333333333,0.015,0.72,0.075,0.03
31,0.005,0.0,0.005,0.0,0.985,0.0,0.005
32,0.295,0.24,0.165,0.055,0.165,0.04,0.04
33,0.25,0.135,0.165,0.075,0.21,0.09999999999999998,0.065
34,0.01,0.01,0.115,0.03,0.0,0.02333333333333333,0.8116666666666665
35,0.065,0.075,0.095,0.04,0.02,0.02,0.685
36,0.12833333333333333,0.025,0.056666666666666664,0.08,0.05,0.62,0.04
37,0.01,0.0,0.015,0.02333333333333333,0.035,0.9016666666666666,0.015
38,0.0,0.005,0.0,0.025,0.0,0.965,0.005
39,0.025,0.025,0.085,0.0525,0.0,0.74,0.0725
40,0.40125,0.035,0.34875,0.045,0.02,0.065,0.085
41,0.415,0.045,0.365,0.03,0.065,0.025,0.055
