,Product Manager,Database Administrator,Data Engineer,Data Scientist,Data Analyst,Business Analyst,Data Architect
0,0.145,0.01,0.635,0.1,0.05,0.055,0.005
1,0.17,0.015,0.055,0.06,0.63,0.055,0.015
2,0.045,0.035,0.0325,0.08625,0.73,0.035,0.03625
3,0.095,0.025,0.028333333333333332,0.1,0.675,0.075,0.0016666666666666666
4,0.03,0.705,0.045,0.02,0.09,0.07,0.04
5,0.025,0.01,0.01,0.93,0.01,0.015,0.0
6,0.165,0.105,0.07,0.085,0.24166666666666664,0.2533333333333333,0.08
7,0.025,0.02,0.015,0.735,0.14,0.015,0.05
8,0.09,0.02,0.725,0.055,0.05,0.03,0.03
9,0.04,0.065,0.66,0.06,0.03,0.115,0.03
10,0.01,0.01,0.645,0.135,0.1425,0.0375,0.02
11,0.36,0.015,0.04,0.045,0.155,0.35,0.035
12,0.0,0.095,0.75,0.0325,0.035,0.02,0.0675
13,0.06,0.045,0.71,0.045,0.035,0.08,0.025
14,0.035,0.045,0.025,0.095,0.725,0.04,0.035
15,0.035,0.045,0.025,0.02,0.745,0.125,0.005
16,0.01,0.04,0.075,0.0375,0.69,0.095,0.0525
17,0.25,0.05,0.165,0.105,0.215,0.19,0.025
18,0.025,0.07,0.075,0.01375,0.04,0.035,0.74125
19,0.015,0.15,0.045,0.035,0.035,0.09,0.63
20,0.045,0.03,0.115,0.02,0.035,0.13,0.625
21,0.72,0.0,0.08,0.03,0.075,0.085,0.01
22,0.685,0.015,0.03,0.04,0.09,0.105,0.035
23,0.84,0.015,0.045,0.025,0.0,0.04,0.035
24,0.775,0.015,0.05,0.01,0.07,0.07,0.01
25,0.87,0.025,0.02,0.005,0.015,0.06,0.005
26,0.825,0.01,0.035,0.05,0.03,0.05,0.0
27,0.78,0.02,0.05625,0.04,0.01,0.05,0.04375
28,0.805,0.025,0.02,0.02,0.05,0.08,0.0
29,0.89,0.0,0.01,0.02,0.005,0.07,0.005
30,0.495,0.02,0.08,0.115,0.075,0.145,0.07
31,0.845,0.01,0.025,0.01,0.035,0.075,0.0
32,0.915,0.015,0.02,0.0,0.01,0.025,0.015
33,0.93,0.005,0.005,0.015,0.01,0.025,0.01
34,0.89,0.005,0.02,0.01,0.015,0.035,0.025
35,0.94,0.005,0.01,0.01,0.02,0.01,0.005
36,0.13,0.145,0.115,0.125,0.21375,0.20625,0.065
37,0.685,0.005,0.055,0.045,0.04,0.155,0.015
38,0.04,0.025,0.02,0.78,0.07,0.05,0.015
39,0.015,0.04,0.0225,0.655,0.13,0.07,0.0675
40,0.15,0.0,0.7,0.02,0.055,0.065,0.01
41,0.09,0.02,0.725,0.055,0.05,0.03,0.03
42,0.005,0.01,0.95,0.02,0.01,0.0,0.005
43,0.02,0.055,0.74,0.05,0.05,0.06,0.025
44,0.005,0.055,0.045,0.04333333333333334,0.76,0.085,0.006666666666666666
45,0.1,0.045,0.055,0.285,0.33875,0.10625,0.07
46,0.085,0.0,0.02,0.045,0.785,0.06,0.005
47,0.01,0.125,0.03,0.015,0.7,0.09,0.03
